Timestamp,geo:lat,geo:long,Value
2014-08-03T21:11:20.946+0530,77.68538182404465,12.835108570476395,66.55317603298973
2014-08-03T21:11:21.435+0530,77.68538182404465,12.835108570476395,70.56577128526855
2014-08-03T21:11:21.945+0530,77.6217789,12.9279792,67.56521535172907
2014-08-03T21:11:23.098+0530,77.62100521556748,12.927023916530525,77.53618902912368
2014-08-03T21:11:23.459+0530,77.62100521556748,12.927023916530525,71.12957731196528
2014-08-03T21:11:24.410+0530,77.62100521556748,12.927023916530525,83.26007748266741
2014-08-03T21:11:24.955+0530,77.62100521556748,12.927023916530525,78.40955881922886
2014-08-03T21:11:25.907+0530,77.62099405524573,12.927056117348451,74.15835294247238
2014-08-03T21:11:26.446+0530,77.62099405524573,12.927056117348451,88.33642166483844
2014-08-03T21:11:27.416+0530,77.62100099626126,12.927083257726157,88.67709248204437
2014-08-03T21:11:27.924+0530,77.62101157924066,12.927124792113787,73.7153309407987
2014-08-03T21:11:28.867+0530,77.62101288294727,12.9271792361623,88.53529078787884
2014-08-03T21:11:29.472+0530,77.62101288294727,12.9271792361623,71.7983511760659
2014-08-03T21:11:30.403+0530,77.62097710151949,12.927244754509172,72.11214287243243
2014-08-03T21:11:30.923+0530,77.62095944528996,12.927295812075519,74.4455267145784
2014-08-03T21:11:31.906+0530,77.62094766642011,12.927340896043798,85.95968151515227
2014-08-03T21:11:32.430+0530,77.62094766642011,12.927340896043798,80.7894354101306
2014-08-03T21:11:33.402+0530,77.6209371762547,12.927382140524564,85.71610879672491
2014-08-03T21:11:33.917+0530,77.62093512034212,12.92741408314234,76.58820402762859
2014-08-03T21:11:34.882+0530,77.62093852120366,12.92744590442415,84.49459369103768
2014-08-03T21:11:35.408+0530,77.62093852120366,12.92744590442415,75.34538264113051
2014-08-03T21:11:36.387+0530,77.62094813613571,12.927487727942387,73.00723161161277
2014-08-03T21:11:36.904+0530,77.62096086275372,12.927534722526877,75.38917428525141
2014-08-03T21:11:37.883+0530,77.62097784131042,12.927586604664809,81.86947407651728
2014-08-03T21:11:38.400+0530,77.62097784131042,12.927586604664809,75.07285458735623
2014-08-03T21:11:39.371+0530,77.62099720506505,12.92764229236854,74.17441399496155
2014-08-03T21:11:39.890+0530,77.62101855369781,12.927698171417447,76.94154662268005
2014-08-03T21:11:40.863+0530,77.62103967266157,12.927751789882532,73.9226872090404
2014-08-03T21:11:41.381+0530,77.62103967266157,12.927751789882532,75.53000616714806
2014-08-03T21:11:42.356+0530,77.62106026035549,12.927805400864612,81.62902931428272
2014-08-03T21:11:42.868+0530,77.62107916780295,12.927848636878391,74.22734147853916
2014-08-03T21:11:43.519+0530,77.62107916780295,12.927848636878391,83.48645266645192
2014-08-03T21:11:44.436+0530,77.62110260362194,12.927891975360758,78.28287454423437
2014-08-03T21:11:44.939+0530,77.62112735700553,12.927937920641297,74.1168237802902
2014-08-03T21:11:45.913+0530,77.62115160596446,12.92798331636696,75.6118339200163
2014-08-03T21:11:46.428+0530,77.62115160596446,12.92798331636696,73.54956626110194
2014-08-03T21:11:47.404+0530,77.6211762351903,12.928034094576226,74.25830605774946
2014-08-03T21:11:47.911+0530,77.62120330113659,12.928088598747218,73.5883233091185
2014-08-03T21:11:48.876+0530,77.62122865739035,12.928146129347398,73.13206933114435
2014-08-03T21:11:49.440+0530,77.62122865739035,12.928146129347398,73.63050415659123
2014-08-03T21:11:50.395+0530,77.62125554971556,12.92820583480567,72.75838877480993
2014-08-03T21:11:50.914+0530,77.62128464948674,12.928266711446115,72.38146858181724
2014-08-03T21:11:51.885+0530,77.6213135057535,12.92832877522377,72.4894415009785
2014-08-03T21:11:52.448+0530,77.6213135057535,12.92832877522377,73.60827360162853
2014-08-03T21:11:53.402+0530,77.6213435532593,12.928396056622011,73.63931011337903
2014-08-03T21:11:53.906+0530,77.62137331032268,12.928466460722536,73.28872743920385
2014-08-03T21:11:54.470+0530,77.62137331032268,12.928466460722536,74.37480132032896
2014-08-03T21:11:55.436+0530,77.62140111754198,12.928531605535131,90.96050979911625
2014-08-03T21:11:55.956+0530,77.62142921719035,12.928599756842042,82.56519825920655
2014-08-03T21:11:56.929+0530,77.62145804557868,12.928669046973432,73.88058550071284
2014-08-03T21:11:57.498+0530,77.62145804557868,12.928669046973432,74.25710529811788
2014-08-03T21:11:58.451+0530,77.62148477843922,12.928734544250236,88.39078451481308
2014-08-03T21:11:58.969+0530,77.62151203124041,12.928798205639492,92.46424271471423
2014-08-03T21:11:59.938+0530,77.62153770006712,12.928857326166428,88.37445816657356
2014-08-03T21:12:00.456+0530,77.62153770006712,12.928857326166428,90.71757037328638
2014-08-03T21:12:01.441+0530,77.6215607386753,12.928910360917634,83.34048681417784
2014-08-03T21:12:01.955+0530,77.62158501843332,12.928964292397374,76.1448338505597
2014-08-03T21:12:02.917+0530,77.62160773438201,12.92901407668572,75.86443302502875
2014-08-03T21:12:03.486+0530,77.62160773438201,12.92901407668572,73.5819207587654
2014-08-03T21:12:04.448+0530,77.62163279267862,12.92906984750049,75.42333386291716
2014-08-03T21:12:04.968+0530,77.62165537743994,12.929123273456264,86.75075561967665
2014-08-03T21:12:05.906+0530,77.62167390620006,12.92918144089132,76.4713069122405
2014-08-03T21:12:06.511+0530,77.62167390620006,12.92918144089132,75.24309931853348
2014-08-03T21:12:07.432+0530,77.62169543003645,12.929238641256589,84.20779975792263
2014-08-03T21:12:07.984+0530,77.62171046910723,12.929305313769538,88.51530554327212
2014-08-03T21:12:08.924+0530,77.62172823438956,12.92937500501093,87.42445150392173
